Waf: Entering directory `/home/limemnghui/ns-allinone-3.27/ns-3.27/build'
[2322/2711] Compiling scratch/backup_1.cc
[2657/2711] Linking build/scratch/backup_1
Waf: Leaving directory `/home/limemnghui/ns-allinone-3.27/ns-3.27/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.882s)
3 1 11.9426
3 2 11.9426
3 4 11.9426
3 5 11.9426
3 1 11.945
3 2 11.945
3 4 11.945
3 5 11.945
9 7 11.9457
9 8 11.9457
9 10 11.9457
9 11 11.9457
9 7 11.9462
9 8 11.9462
9 10 11.9462
9 11 11.9462
9 7 11.9465
9 8 11.9465
9 10 11.9465
9 11 11.9465
9 7 11.9473
9 8 11.9473
9 10 11.9473
9 11 11.9473
9 7 11.9481
9 8 11.9481
9 10 11.9481
9 11 11.9481
1 3 11.9484
1 0 11.9484
1 3 11.9485
1 0 11.9485
1 3 11.9503
1 0 11.9503
1 3 11.9523
1 0 11.9523
9 7 11.9524
9 8 11.9524
9 10 11.9524
9 11 11.9524
1 3 11.9542
1 0 11.9542
1 3 11.9551
1 0 11.9551
9 7 11.9556
9 8 11.9556
9 10 11.9556
9 11 11.9556
1 3 11.9568
1 0 11.9568
7 6 11.9582
7 9 11.9582
7 6 11.9584
7 9 11.9584
7 6 11.96
7 9 11.96
3 1 11.9614
3 2 11.9614
3 4 11.9614
3 5 11.9614
7 6 11.9621
7 9 11.9621
1 3 11.9625
1 0 11.9625
3 1 11.9632
3 2 11.9632
3 4 11.9632
3 5 11.9632
7 6 11.9644
7 9 11.9644
3 1 11.9652
3 2 11.9652
3 4 11.9652
3 5 11.9652
7 6 11.9676
7 9 11.9676
3 1 11.968
3 2 11.968
3 4 11.968
3 5 11.968
3 1 11.9697
3 2 11.9697
3 4 11.9697
3 5 11.9697
3 1 11.9704
3 2 11.9704
3 4 11.9704
3 5 11.9704
9 7 11.9722
9 8 11.9722
9 10 11.9722
9 11 11.9722
7 6 11.9733
7 9 11.9733
1 3 11.9734
1 0 11.9734
9 7 11.9738
9 8 11.9738
9 10 11.9738
9 11 11.9738
9 7 11.9739
9 8 11.9739
9 10 11.9739
9 11 11.9739
3 1 11.9754
3 2 11.9754
3 4 11.9754
3 5 11.9754
7 6 11.9754
7 9 11.9754
9 7 11.9759
9 8 11.9759
9 10 11.9759
9 11 11.9759
9 7 11.9783
9 8 11.9783
9 10 11.9783
9 11 11.9783
9 7 11.9814
9 8 11.9814
9 10 11.9814
9 11 11.9814
2 3 11.9846
2 0 11.9846
2 3 11.9849
2 0 11.9849
2 3 11.9853
2 0 11.9853
3 1 11.9863
3 2 11.9863
3 4 11.9863
3 5 11.9863
2 3 11.9864
2 0 11.9864
9 7 11.9872
9 8 11.9872
9 10 11.9872
9 11 11.9872
2 3 11.9877
2 0 11.9877
11 9 11.9882
11 12 11.9882
11 9 11.9885
11 12 11.9885
11 9 11.9892
11 12 11.9892
9 7 11.9893
9 8 11.9893
9 10 11.9893
9 11 11.9893
11 9 11.9896
11 12 11.9896
11 9 11.9916
11 12 11.9916
2 3 11.9922
2 0 11.9922
11 9 11.9927
11 12 11.9927
2 3 11.9941
2 0 11.9941
3 1 11.9987
3 2 11.9987
3 4 11.9987
3 5 11.9987
3 1 11.999
3 2 11.999
3 4 11.999
3 5 11.999
11 9 11.9991
11 12 11.9991
3 1 11.9991
3 2 11.9991
3 4 11.9991
3 5 11.9991
3 1 12.0007
3 2 12.0007
3 4 12.0007
3 5 12.0007
9 7 12.0023
9 8 12.0023
9 10 12.0023
9 11 12.0023
9 7 12.0024
9 8 12.0024
9 10 12.0024
9 11 12.0024
3 1 12.0028
3 2 12.0028
3 4 12.0028
3 5 12.0028
9 7 12.0042
9 8 12.0042
9 10 12.0042
9 11 12.0042
3 1 12.0054
3 2 12.0054
3 4 12.0054
3 5 12.0054
9 7 12.0058
9 8 12.0058
9 10 12.0058
9 11 12.0058
3 1 12.0075
3 2 12.0075
3 4 12.0075
3 5 12.0075
9 7 12.008
9 8 12.008
9 10 12.008
9 11 12.008
3 1 12.0091
3 2 12.0091
3 4 12.0091
3 5 12.0091
9 7 12.0109
9 8 12.0109
9 10 12.0109
9 11 12.0109
9 7 12.0132
9 8 12.0132
9 10 12.0132
9 11 12.0132
3 1 12.0133
3 2 12.0133
3 4 12.0133
3 5 12.0133
9 7 12.0137
9 8 12.0137
9 10 12.0137
9 11 12.0137
2 3 12.0146
2 0 12.0146
2 3 12.0162
2 0 12.0162
2 3 12.0166
2 0 12.0166
6 4 12.0178
6 5 12.0178
6 7 12.0178
6 8 12.0178
11 9 12.0179
11 12 12.0179
11 9 12.0181
11 12 12.0181
2 3 12.0182
2 0 12.0182
11 9 12.0197
11 12 12.0197
2 3 12.0209
2 0 12.0209
11 9 12.0213
11 12 12.0213
9 7 12.0219
9 8 12.0219
9 10 12.0219
9 11 12.0219
2 3 12.0229
2 0 12.0229
11 9 12.0235
11 12 12.0235
2 3 12.0246
2 0 12.0246
11 9 12.0263
11 12 12.0263
2 3 12.0287
2 0 12.0287
11 9 12.0292
11 12 12.0292
0 1 12.0308
0 2 12.0308
0 13 12.0308
0 14 12.0308
0 1 12.0312
0 2 12.0312
0 13 12.0312
0 14 12.0312
0 1 12.0318
0 2 12.0318
0 13 12.0318
0 14 12.0318
12 10 12.0323
12 11 12.0323
12 13 12.0323
12 14 12.0323
0 1 12.0323
0 2 12.0323
0 13 12.0323
0 14 12.0323
12 10 12.0325
12 11 12.0325
12 13 12.0325
12 14 12.0325
12 10 12.0329
12 11 12.0329
12 13 12.0329
12 14 12.0329
12 10 12.0339
12 11 12.0339
12 13 12.0339
12 14 12.0339
0 1 12.0345
0 2 12.0345
0 13 12.0345
0 14 12.0345
0 1 12.0348
0 2 12.0348
0 13 12.0348
0 14 12.0348
12 10 12.0363
12 11 12.0363
12 13 12.0363
12 14 12.0363
11 9 12.0373
11 12 12.0373
12 10 12.0396
12 11 12.0396
12 13 12.0396
12 14 12.0396
0 1 12.043
0 2 12.043
0 13 12.043
0 14 12.043
2 3 12.0449
2 0 12.0449
2 3 12.045
2 0 12.045
11 9 12.0464
11 12 12.0464
11 9 12.0466
11 12 12.0466
2 3 12.0466
2 0 12.0466
11 9 12.0467
11 12 12.0467
2 3 12.0484
2 0 12.0484
11 9 12.0486
11 12 12.0486
12 10 12.0491
12 11 12.0491
12 13 12.0491
12 14 12.0491
11 9 12.0503
11 12 12.0503
11 9 12.0508
11 12 12.0508
2 3 12.0511
2 0 12.0511
11 9 12.0527
11 12 12.0527
2 3 12.0531
2 0 12.0531
11 9 12.0556
11 12 12.0556
2 3 12.0568
2 0 12.0568
11 9 12.0589
11 12 12.0589
2 3 12.0604
2 0 12.0604
0 1 12.0605
0 2 12.0605
0 13 12.0605
0 14 12.0605
11 9 12.062
11 12 12.062
0 1 12.0621
0 2 12.0621
0 13 12.0621
0 14 12.0621
12 10 12.0622
12 11 12.0622
12 13 12.0622
12 14 12.0622
1 3 12.0623
1 0 12.0623
0 1 12.0639
0 2 12.0639
0 13 12.0639
0 14 12.0639
12 10 12.0663
12 11 12.0663
12 13 12.0663
12 14 12.0663
12 10 12.0665
12 11 12.0665
12 13 12.0665
12 14 12.0665
0 1 12.0665
0 2 12.0665
0 13 12.0665
0 14 12.0665
0 1 12.0685
0 2 12.0685
0 13 12.0685
0 14 12.0685
