Waf: Entering directory `/home/limemnghui/ns-allinone-3.27/ns-3.27/build'
[2322/2711] Compiling scratch/backup_1.cc
[2657/2711] Linking build/scratch/backup_1
Waf: Leaving directory `/home/limemnghui/ns-allinone-3.27/ns-3.27/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.882s)
3 5 15.5888
12 10 15.5931
12 11 15.5931
12 13 15.5931
12 14 15.5931
4 3 15.6316
4 6 15.6316
0 1 15.6463
0 2 15.6463
0 13 15.6463
0 14 15.6463
9 7 15.6627
9 8 15.6627
9 10 15.6627
9 11 15.6627
8 6 15.7007
8 9 15.7007
14 0 15.8581
14 12 15.8581
6 4 15.8601
6 5 15.8601
6 7 15.8601
6 8 15.8601
5 3 16.0016
5 6 16.0016
2 3 16.0024
2 0 16.0024
3 1 16.0219
3 2 16.0219
3 4 16.0219
3 5 16.0219
6 4 16.0921
6 5 16.0921
6 7 16.0921
6 8 16.0921
11 9 16.0968
11 12 16.0968
0 1 16.101
0 2 16.101
0 13 16.101
0 14 16.101
2 3 16.12
2 0 16.12
14 0 16.1229
14 12 16.1229
1 3 16.1304
1 0 16.1304
8 6 16.1688
8 9 16.1688
10 9 16.2187
10 12 16.2187
4 3 16.2536
4 6 16.2536
7 6 16.2844
7 9 16.2844
13 0 16.3459
13 12 16.3459
12 10 16.3552
12 11 16.3552
12 13 16.3552
12 14 16.3552
9 7 16.4205
9 8 16.4205
9 10 16.4205
9 11 16.4205
11 9 16.5291
11 12 16.5291
1 3 16.9362
1 0 16.9362
7 6 16.9362
7 9 16.9362
1 3 16.9379
1 0 16.9379
7 6 16.9381
7 9 16.9381
1 3 16.9395
1 0 16.9395
7 6 16.94
7 9 16.94
1 3 16.9413
1 0 16.9413
7 6 16.9421
7 9 16.9421
7 6 16.9442
7 9 16.9442
1 3 16.9444
1 0 16.9444
7 6 16.9483
7 9 16.9483
3 1 16.9491
3 2 16.9491
3 4 16.9491
3 5 16.9491
1 3 16.9492
1 0 16.9492
9 7 16.95
9 8 16.95
9 10 16.95
9 11 16.95
9 7 16.9503
9 8 16.9503
9 10 16.9503
9 11 16.9503
3 1 16.9508
3 2 16.9508
3 4 16.9508
3 5 16.9508
3 1 16.9509
3 2 16.9509
3 4 16.9509
3 5 16.9509
9 7 16.9519
9 8 16.9519
9 10 16.9519
9 11 16.9519
3 1 16.9526
3 2 16.9526
3 4 16.9526
3 5 16.9526
9 7 16.9536
9 8 16.9536
9 10 16.9536
9 11 16.9536
3 1 16.9547
3 2 16.9547
3 4 16.9547
3 5 16.9547
9 7 16.9555
9 8 16.9555
9 10 16.9555
9 11 16.9555
7 6 16.9556
7 9 16.9556
1 3 16.9567
1 0 16.9567
3 1 16.9568
3 2 16.9568
3 4 16.9568
3 5 16.9568
9 7 16.9587
9 8 16.9587
9 10 16.9587
9 11 16.9587
3 1 16.959
3 2 16.959
3 4 16.959
3 5 16.959
9 7 16.9621
9 8 16.9621
9 10 16.9621
9 11 16.9621
3 1 16.9622
3 2 16.9622
3 4 16.9622
3 5 16.9622
3 1 16.9635
3 2 16.9635
3 4 16.9635
3 5 16.9635
9 7 16.9644
9 8 16.9644
9 10 16.9644
9 11 16.9644
11 9 16.9657
11 12 16.9657
11 9 16.9659
11 12 16.9659
3 1 16.9662
3 2 16.9662
3 4 16.9662
3 5 16.9662
2 3 16.9663
2 0 16.9663
2 3 16.9664
2 0 16.9664
2 3 16.9681
2 0 16.9681
11 9 16.9691
11 12 16.9691
9 7 16.9694
9 8 16.9694
9 10 16.9694
9 11 16.9694
3 1 16.9696
3 2 16.9696
3 4 16.9696
3 5 16.9696
2 3 16.97
2 0 16.97
11 9 16.9709
11 12 16.9709
2 3 16.9716
2 0 16.9716
9 7 16.9718
9 8 16.9718
9 10 16.9718
9 11 16.9718
11 9 16.9751
11 12 16.9751
2 3 16.9753
2 0 16.9753
2 3 16.979
2 0 16.979
2 3 16.9798
2 0 16.9798
11 9 16.9798
11 12 16.9798
11 9 16.9803
11 12 16.9803
12 10 16.9813
12 11 16.9813
12 13 16.9813
12 14 16.9813
12 10 16.9815
12 11 16.9815
12 13 16.9815
12 14 16.9815
0 1 16.9819
0 2 16.9819
0 13 16.9819
0 14 16.9819
2 3 16.9838
2 0 16.9838
11 9 16.984
11 12 16.984
12 10 16.9846
12 11 16.9846
12 13 16.9846
12 14 16.9846
12 10 16.9848
12 11 16.9848
12 13 16.9848
12 14 16.9848
0 1 16.9854
0 2 16.9854
0 13 16.9854
0 14 16.9854
12 10 16.9869
12 11 16.9869
12 13 16.9869
12 14 16.9869
0 1 16.9871
0 2 16.9871
0 13 16.9871
0 14 16.9871
11 9 16.9872
11 12 16.9872
12 10 16.9906
12 11 16.9906
12 13 16.9906
12 14 16.9906
12 10 16.9907
12 11 16.9907
12 13 16.9907
12 14 16.9907
0 1 16.9908
0 2 16.9908
0 13 16.9908
0 14 16.9908
11 9 16.9914
11 12 16.9914
12 10 16.9923
12 11 16.9923
12 13 16.9923
12 14 16.9923
0 1 16.9953
0 2 16.9953
0 13 16.9953
0 14 16.9953
12 10 16.9958
12 11 16.9958
12 13 16.9958
12 14 16.9958
12 10 16.9968
12 11 16.9968
12 13 16.9968
12 14 16.9968
0 1 16.9992
0 2 16.9992
0 13 16.9992
0 14 16.9992
12 10 16.9997
12 11 16.9997
12 13 16.9997
12 14 16.9997
12 10 17.0069
12 11 17.0069
12 13 17.0069
12 14 17.0069
14 0 17.0078
14 12 17.0078
14 0 17.0079
14 12 17.0079
14 0 17.0096
14 12 17.0096
14 0 17.0114
14 12 17.0114
14 0 17.0152
14 12 17.0152
14 0 17.0156
14 12 17.0156
14 0 17.0188
14 12 17.0188
0 1 17.0234
0 2 17.0234
0 13 17.0234
0 14 17.0234
14 0 17.0235
14 12 17.0235
0 1 17.0251
0 2 17.0251
0 13 17.0251
0 14 17.0251
14 0 17.0269
14 12 17.0269
0 1 17.027
0 2 17.027
0 13 17.027
0 14 17.027
0 1 17.0311
0 2 17.0311
0 13 17.0311
0 14 17.0311
0 1 17.0424
0 2 17.0424
0 13 17.0424
0 14 17.0424
10 9 18.0079
10 12 18.0079
14 0 18.0156
14 12 18.0156
0 1 18.0664
0 2 18.0664
0 13 18.0664
0 14 18.0664
11 9 18.2076
11 12 18.2076
9 7 18.2186
9 8 18.2186
9 10 18.2186
9 11 18.2186
7 6 18.2472
7 9 18.2472
4 3 18.277
4 6 18.277
3 1 18.3043
3 2 18.3043
3 4 18.3043
3 5 18.3043
6 4 18.3107
6 5 18.3107
6 7 18.3107
6 8 18.3107
8 6 18.3199
8 9 18.3199
13 0 18.3638
13 12 18.3638
5 3 18.3674
5 6 18.3674
2 3 18.401
2 0 18.401
1 3 18.4324
1 0 18.4324
12 10 18.4862
12 11 18.4862
12 13 18.4862
12 14 18.4862
1 3 18.9069
1 0 18.9069
7 6 18.9069
7 9 18.9069
7 6 18.9086
7 9 18.9086
1 3 18.9086
1 0 18.9086
7 6 18.9103
7 9 18.9103
1 3 18.9106
1 0 18.9106
1 3 18.9127
1 0 18.9127
7 6 18.9127
7 9 18.9127
1 3 18.9145
1 0 18.9145
7 6 18.9155
7 9 18.9155
7 6 18.9185
7 9 18.9185
3 1 18.9198
3 2 18.9198
3 4 18.9198
3 5 18.9198
3 1 18.9199
3 2 18.9199
3 4 18.9199
3 5 18.9199
1 3 18.9205
1 0 18.9205
9 7 18.9207
9 8 18.9207
9 10 18.9207
9 11 18.9207
3 1 18.9216
3 2 18.9216
3 4 18.9216
3 5 18.9216
9 7 18.9224
9 8 18.9224
9 10 18.9224
9 11 18.9224
9 7 18.9225
9 8 18.9225
9 10 18.9225
9 11 18.9225
3 1 18.9233
3 2 18.9233
3 4 18.9233
3 5 18.9233
9 7 18.9244
9 8 18.9244
9 10 18.9244
9 11 18.9244
1 3 18.9246
1 0 18.9246
3 1 18.9252
3 2 18.9252
3 4 18.9252
3 5 18.9252
9 7 18.9264
9 8 18.9264
9 10 18.9264
9 11 18.9264
3 1 18.9272
3 2 18.9272
3 4 18.9272
3 5 18.9272
7 6 18.9278
7 9 18.9278
9 7 18.9289
9 8 18.9289
9 10 18.9289
9 11 18.9289
9 7 18.9324
9 8 18.9324
9 10 18.9324
9 11 18.9324
9 7 18.9333
9 8 18.9333
9 10 18.9333
9 11 18.9333
3 1 18.9334
3 2 18.9334
3 4 18.9334
3 5 18.9334
3 1 18.934
3 2 18.934
3 4 18.934
3 5 18.934
2 3 18.9354
2 0 18.9354
2 3 18.9355
2 0 18.9355
2 3 18.9372
2 0 18.9372
3 1 18.9375
3 2 18.9375
3 4 18.9375
3 5 18.9375
9 7 18.9377
9 8 18.9377
9 10 18.9377
9 11 18.9377
11 9 18.938
11 12 18.938
11 9 18.9381
11 12 18.9381
3 1 18.9389
3 2 18.9389
3 4 18.9389
3 5 18.9389
9 7 18.9398
9 8 18.9398
9 10 18.9398
9 11 18.9398
11 9 18.9399
11 12 18.9399
2 3 18.9406
2 0 18.9406
2 3 18.9407
2 0 18.9407
11 9 18.942
11 12 18.942
2 3 18.9428
2 0 18.9428
11 9 18.944
11 12 18.944
11 9 18.9456
11 12 18.9456
2 3 18.9459
2 0 18.9459
11 9 18.9487
11 12 18.9487
2 3 18.9494
2 0 18.9494
11 9 18.9495
11 12 18.9495
2 3 18.9501
2 0 18.9501
0 1 18.951
0 2 18.951
0 13 18.951
0 14 18.951
0 1 18.9526
0 2 18.9526
0 13 18.9526
0 14 18.9526
11 9 18.9531
11 12 18.9531
12 10 18.9535
12 11 18.9535
12 13 18.9535
12 14 18.9535
12 10 18.9536
12 11 18.9536
12 13 18.9536
12 14 18.9536
2 3 18.9543
2 0 18.9543
11 9 18.9553
11 12 18.9553
12 10 18.9554
12 11 18.9554
12 13 18.9554
12 14 18.9554
2 3 18.9557
2 0 18.9557
0 1 18.9562
0 2 18.9562
0 13 18.9562
0 14 18.9562
11 9 18.9574
11 12 18.9574
12 10 18.9574
12 11 18.9574
12 13 18.9574
12 14 18.9574
0 1 18.9583
0 2 18.9583
0 13 18.9583
0 14 18.9583
12 10 18.9596
12 11 18.9596
12 13 18.9596
12 14 18.9596
0 1 18.9614
0 2 18.9614
0 13 18.9614
0 14 18.9614
12 10 18.9633
12 11 18.9633
12 13 18.9633
12 14 18.9633
0 1 18.9655
0 2 18.9655
0 13 18.9655
0 14 18.9655
12 10 18.9656
12 11 18.9656
12 13 18.9656
12 14 18.9656
14 0 18.969
14 12 18.969
14 0 18.9692
14 12 18.9692
14 0 18.9709
14 12 18.9709
0 1 18.9712
0 2 18.9712
0 13 18.9712
0 14 18.9712
12 10 18.9728
12 11 18.9728
12 13 18.9728
12 14 18.9728
14 0 18.973
14 12 18.973
12 10 18.9743
12 11 18.9743
12 13 18.9743
12 14 18.9743
14 0 18.9746
14 12 18.9746
14 0 18.9762
14 12 18.9762
14 0 18.9828
14 12 18.9828
0 1 18.9865
0 2 18.9865
0 13 18.9865
0 14 18.9865
0 1 18.9885
0 2 18.9885
0 13 18.9885
0 14 18.9885
14 0 18.9897
14 12 18.9897
0 1 18.9901
0 2 18.9901
0 13 18.9901
0 14 18.9901
14 0 18.9919
14 12 18.9919
0 1 18.9984
0 2 18.9984
0 13 18.9984
0 14 18.9984
0 1 19.0074
0 2 19.0074
0 13 19.0074
0 14 19.0074
1 3 19.9776
1 0 19.9776
7 6 19.9776
7 9 19.9776
1 3 19.9792
1 0 19.9792
7 6 19.9794
7 9 19.9794
1 3 19.9811
1 0 19.9811
7 6 19.9815
7 9 19.9815
1 3 19.9835
1 0 19.9835
7 6 19.984
7 9 19.984
7 6 19.9862
7 9 19.9862
1 3 19.987
1 0 19.987
7 6 19.9892
7 9 19.9892
3 1 19.9905
3 2 19.9905
3 4 19.9905
3 5 19.9905
3 1 19.9906
3 2 19.9906
3 4 19.9906
3 5 19.9906
1 3 19.9908
1 0 19.9908
9 7 19.9914
9 8 19.9914
9 10 19.9914
9 11 19.9914
9 7 19.9915
9 8 19.9915
9 10 19.9915
9 11 19.9915
3 1 19.9923
3 2 19.9923
3 4 19.9923
3 5 19.9923
9 7 19.9932
9 8 19.9932
9 10 19.9932
9 11 19.9932
3 1 19.9939
3 2 19.9939
3 4 19.9939
3 5 19.9939
9 7 19.9952
9 8 19.9952
9 10 19.9952
9 11 19.9952
3 1 19.9962
3 2 19.9962
3 4 19.9962
3 5 19.9962
1 3 19.9962
1 0 19.9962
9 7 19.9975
9 8 19.9975
9 10 19.9975
9 11 19.9975
7 6 19.9989
7 9 19.9989
3 1 19.9999
3 2 19.9999
3 4 19.9999
3 5 19.9999
9 7 20.0005
9 8 20.0005
9 10 20.0005
9 11 20.0005
3 1 20.0009
3 2 20.0009
3 4 20.0009
3 5 20.0009
3 1 20.0026
3 2 20.0026
3 4 20.0026
3 5 20.0026
2 3 20.006
2 0 20.006
2 3 20.0061
2 0 20.0061
9 7 20.0062
9 8 20.0062
9 10 20.0062
9 11 20.0062
3 1 20.0068
3 2 20.0068
3 4 20.0068
3 5 20.0068
11 9 20.007
11 12 20.007
11 9 20.0071
11 12 20.0071
2 3 20.0077
2 0 20.0077
11 9 20.0089
11 12 20.0089
2 3 20.0094
2 0 20.0094
11 9 20.0107
11 12 20.0107
2 3 20.012
2 0 20.012
9 7 20.0127
9 8 20.0127
9 10 20.0127
9 11 20.0127
11 9 20.013
11 12 20.013
11 9 20.016
11 12 20.016
2 3 20.0163
2 0 20.0163
9 7 20.0172
9 8 20.0172
9 10 20.0172
9 11 20.0172
11 9 20.0174
11 12 20.0174
2 3 20.0181
2 0 20.0181
2 3 20.0186
2 0 20.0186
0 1 20.0216
0 2 20.0216
0 13 20.0216
0 14 20.0216
11 9 20.0217
11 12 20.0217
11 9 20.0221
11 12 20.0221
2 3 20.0223
2 0 20.0223
12 10 20.0226
12 11 20.0226
12 13 20.0226
12 14 20.0226
12 10 20.0227
12 11 20.0227
12 13 20.0227
12 14 20.0227
0 1 20.0232
0 2 20.0232
0 13 20.0232
0 14 20.0232
2 3 20.0245
2 0 20.0245
12 10 20.0246
12 11 20.0246
12 13 20.0246
12 14 20.0246
0 1 20.0248
0 2 20.0248
0 13 20.0248
0 14 20.0248
12 10 20.0264
12 11 20.0264
12 13 20.0264
12 14 20.0264
0 1 20.0274
0 2 20.0274
0 13 20.0274
0 14 20.0274
2 3 20.0285
2 0 20.0285
12 10 20.0289
12 11 20.0289
12 13 20.0289
12 14 20.0289
11 9 20.031
11 12 20.031
12 10 20.031
12 11 20.031
12 13 20.031
12 14 20.031
12 10 20.0375
12 11 20.0375
12 13 20.0375
12 14 20.0375
12 10 20.0378
12 11 20.0378
12 13 20.0378
12 14 20.0378
12 10 20.0409
12 11 20.0409
12 13 20.0409
12 14 20.0409
0 1 20.0439
0 2 20.0439
0 13 20.0439
0 14 20.0439
14 0 20.0443
14 12 20.0443
14 0 20.0445
14 12 20.0445
14 0 20.0462
14 12 20.0462
14 0 20.0478
14 12 20.0478
14 0 20.0498
14 12 20.0498
14 0 20.0536
14 12 20.0536
14 0 20.0553
14 12 20.0553
0 1 20.0601
0 2 20.0601
0 13 20.0601
0 14 20.0601
14 0 20.0639
14 12 20.0639
0 1 20.0654
0 2 20.0654
0 13 20.0654
0 14 20.0654
0 1 20.0692
0 2 20.0692
0 13 20.0692
0 14 20.0692
0 1 20.0708
0 2 20.0708
0 13 20.0708
0 14 20.0708
0 1 20.0795
0 2 20.0795
0 13 20.0795
0 14 20.0795
12 10 20.136
12 11 20.136
12 13 20.136
12 14 20.136
7 6 20.1585
7 9 20.1585
14 0 20.1711
14 12 20.1711
11 9 20.1857
11 12 20.1857
3 1 20.19
3 2 20.19
3 4 20.19
3 5 20.19
4 3 20.1941
4 6 20.1941
2 3 20.2245
2 0 20.2245
6 4 20.2328
6 5 20.2328
6 7 20.2328
6 8 20.2328
0 1 20.2843
0 2 20.2843
0 13 20.2843
0 14 20.2843
1 3 20.2913
1 0 20.2913
9 7 20.3068
9 8 20.3068
9 10 20.3068
9 11 20.3068
10 9 20.3603
10 12 20.3603
8 6 20.375
8 9 20.375
5 3 20.3866
5 6 20.3866
13 0 20.4145
13 12 20.4145
3 1 20.5612
3 2 20.5612
3 4 20.5612
3 5 20.5612
11 9 20.5707
11 12 20.5707
9 7 20.6293
9 8 20.6293
9 10 20.6293
9 11 20.6293
12 10 20.6535
12 11 20.6535
12 13 20.6535
12 14 20.6535
2 3 20.6771
2 0 20.6771
5 3 20.7315
5 6 20.7315
0 1 20.7519
0 2 20.7519
0 13 20.7519
0 14 20.7519
14 0 20.7809
14 12 20.7809
6 4 20.8003
6 5 20.8003
6 7 20.8003
6 8 20.8003
11 9 20.829
11 12 20.829
5 3 20.8574
5 6 20.8574
0 1 20.8697
0 2 20.8697
0 13 20.8697
0 14 20.8697
9 7 20.911
9 8 20.911
9 10 20.911
9 11 20.911
3 1 20.985
3 2 20.985
3 4 20.985
3 5 20.985
8 6 21.0015
8 9 21.0015
2 3 21.1453
2 0 21.1453
9 7 21.166
9 8 21.166
9 10 21.166
9 11 21.166
6 4 21.1861
6 5 21.1861
6 7 21.1861
6 8 21.1861
12 10 21.1909
12 11 21.1909
12 13 21.1909
12 14 21.1909
0 1 21.1911
0 2 21.1911
0 13 21.1911
0 14 21.1911
11 9 21.2928
11 12 21.2928
5 3 21.3013
5 6 21.3013
6 4 21.4033
6 5 21.4033
6 7 21.4033
6 8 21.4033
14 0 21.4624
14 12 21.4624
8 6 21.6502
8 9 21.6502
9 7 21.8219
9 8 21.8219
9 10 21.8219
9 11 21.8219
1 3 22.0047
1 0 22.0047
4 3 22.0205
4 6 22.0205
10 9 22.0896
10 12 22.0896
8 6 22.1275
8 9 22.1275
5 3 22.1398
5 6 22.1398
11 9 22.162
11 12 22.162
7 6 22.1707
7 9 22.1707
0 1 22.2081
0 2 22.2081
0 13 22.2081
0 14 22.2081
6 4 22.2179
6 5 22.2179
6 7 22.2179
6 8 22.2179
2 3 22.2803
2 0 22.2803
12 10 22.4016
12 11 22.4016
12 13 22.4016
12 14 22.4016
3 1 22.4016
3 2 22.4016
3 4 22.4016
3 5 22.4016
13 0 22.4053
13 12 22.4053
14 0 22.4275
14 12 22.4275
9 7 22.4455
9 8 22.4455
9 10 22.4455
9 11 22.4455
11 9 24.0284
11 12 24.0284
0 1 24.0386
0 2 24.0386
0 13 24.0386
0 14 24.0386
2 3 24.1258
2 0 24.1258
5 3 24.1379
5 6 24.1379
7 6 24.147
7 9 24.147
6 4 24.2034
6 5 24.2034
6 7 24.2034
6 8 24.2034
1 3 24.2478
1 0 24.2478
12 10 24.2675
12 11 24.2675
12 13 24.2675
12 14 24.2675
8 6 24.2728
8 9 24.2728
3 1 24.3026
3 2 24.3026
3 4 24.3026
3 5 24.3026
13 0 24.3152
13 12 24.3152
9 7 24.3927
9 8 24.3927
9 10 24.3927
9 11 24.3927
14 0 24.3944
14 12 24.3944
10 9 24.3972
10 12 24.3972
4 3 24.4749
4 6 24.4749
